,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
849,1,-0.061174079000000006,-0.049508324000000006,-0.07283983299999999,-0.049508324000000006,-0.061174079000000006,-0.026176816000000002,0.055483465,0.06714921900000001,0.12547799,0.26546704,0.25380129,0.19547252,0.18380676,0.12547799,0.078814973,0.04381771,-0.03784257,-0.049508324000000006,-0.061174079000000006,-0.07283983299999999,-0.14283436,-0.20116313,-0.21282888,-0.24782615,-0.24782615,-0.24782615,-0.23616039,-0.2594919,-0.28282342,-0.28282342,-0.16616586,0.06714921900000001,-0.096171341,-1.0527632,-2.0443523,-2.4759852,-2.6043084999999997,-2.6276401000000003,-2.3826592,-2.1026811000000003,-1.9860236,-1.8926975,-1.7293769,-1.6360508999999999,-1.3794044,-1.064429,-0.74945358,-0.48114123,-0.29448916,-0.03784257,0.26546704,0.49878213,0.56877666,0.60377392,0.67376844,0.67376844,0.6854342,0.73209722,0.76709448,0.83708901,0.86042052,0.91874928,0.97707804,1.0004096,1.0704041000000002,1.1287329,1.1987273999999999,1.2687218999999998,1.2570561000000002,1.2803877000000001,1.315385,1.2920534,1.2687218999999998,1.1987273999999999,1.1287329,1.0354069,0.93041504,0.77876023,0.67376844,0.54544515,0.45211911,0.35879307
829,1,0.95659798,-0.054871261,-0.043691857,-0.032512452000000004,-0.043691857,-0.043691857,-0.032512452000000004,-0.010153644,0.023384567999999998,0.090460993,0.13517861,0.23579324,0.22461385,0.21343444,0.21343444,0.13517861,0.079281589,0.079281589,0.023384567999999998,-0.032512452000000004,-0.043691857,-0.088409473,-0.11076828,-0.21138292,-0.22256232,-0.18902411,-0.18902411,-0.20020351,-0.23374173,-0.23374173,-0.23374173,-0.25610053,-0.24492113,0.079281589,0.13517861,-0.71445611,-1.8100377,-2.4472638,-2.592596,-2.6037754,-2.5143402000000004,-2.178958,-2.0224464,-1.9218317999999999,-1.7876789,-1.6982437,-1.4634762,-1.1504528,-0.82625015,-0.52440623,-0.31199755,-0.077230069,0.19107563,0.47056073,0.61589299,0.6494312,0.68296941,0.70532823,0.73886643,0.77240464,0.80594286,0.85066048,0.9065575000000001,0.96245449,1.0071722,1.0742486,1.141325,1.197222,1.2195808000000001,1.2642984,1.2978366000000001,1.2866572,1.2866572,1.2419396,1.1860426000000002,1.1077868,0.99599268,0.87301929,0.75004584,0.61589299,0.51527835,0.35876669
1009,1,-0.078334392,-0.10021998,-0.056448805,-0.034563218,0.07486471900000001,0.1076931,0.19523545,0.19523545,0.15146427,0.12957869,0.09675030300000001,-0.0017348364000000002,-0.01267763,-0.056448805,-0.078334392,-0.06739159900000001,-0.078334392,-0.13304836,-0.19870512,-0.23153351,-0.20964791,-0.23153351,-0.22059071,-0.20964791,-0.22059071,-0.2424763,-0.23153351,-0.22059071,0.020150751,0.09675030300000001,-0.5817029,-1.6322111000000001,-2.2997215,-2.540463,-2.6280053,-2.5842341,-2.2559503,-2.0370944,-1.9276665000000002,-1.8182386000000001,-1.7088107,-1.5556115,-1.2054421,-0.85527275,-0.53793173,-0.30813306,-0.10021998,0.21712104,0.52351926,0.6220044,0.74237514,0.75331793,0.76426072,0.81897469,0.84086028,0.84086028,0.91745983,0.90651704,0.99405943,1.0816018,1.070659,1.1800868999999998,1.1800868999999998,1.2348008,1.2348008,1.2566864,1.3114004,1.3004576,1.2019723999999998,1.2129153,1.0816018,0.99405943,0.89557425,0.70954675,0.67671837,0.50163367,0.43597691,0.34843456,0.22806383,0.17334986,0.1076931,0.06392192599999999
216,1,-0.1719494,-0.11043173,-0.07352112400000001,-0.07352112400000001,0.012603623999999999,0.17254958,0.18485312,0.13563898,0.074121301,0.049514231,-0.036610517999999995,-0.048914054000000005,-0.098128195,-0.23346709,-0.14734234,-0.24577062,-0.25807415,-0.30728829999999996,-0.34419890000000003,-0.35650244,-0.36880597,-0.34419890000000003,-0.35650244,-0.35650244,-0.33189537,-0.45493072,-0.23346709,0.098728367,0.12333545,-0.59026962,-1.5499454,-2.1774257,-2.3988894,-2.4973176,-2.460407,-2.0913009999999996,-1.9436585,-1.8575336999999998,-1.7344984,-1.6483737,-1.5007312,-1.2177499,-0.94707214,-0.60257315,-0.38110951,-0.1350388,0.12333545,0.36940615,0.51704858,0.57856625,0.6277804,0.664691,0.67699453,0.72620868,0.8000299,0.86154757,0.93536878,0.97227935,1.0461006,1.1568323999999999,1.2060466,1.2552607,1.3290819,1.4029031,1.4644208,1.4767244,1.4521173,1.4398137,1.353689,1.2552607,1.1199218,1.00919,0.86154757,0.71390515,0.60317333,0.48013797,0.38170968,0.29558493,0.25867433,0.17254958,0.16024605,0.08642483599999999
1100,1,0.04479645,0.068268073,0.05653226099999999,0.033060637999999996,0.068268073,0.16215457,0.19736199999999998,0.25604106,0.32645593,0.26777687,0.25604106,0.18562619,0.091739697,0.11521132,0.04479645,0.021324827,-0.013882608000000001,-0.02561842,-0.02561842,-0.1077691,-0.16644816,-0.17818397,-0.17818397,-0.18991979,-0.21339141,-0.17818397,-0.17818397,-0.23686303,-0.26033465,-0.0021467968,0.15041875,-0.36595696,-1.4925948,-2.2788943,-2.5605537,-2.6309686,-2.5957612,-2.3023659,-2.0676495999999998,-1.9972348000000002,-1.8916125,-1.7390468999999997,-1.5864813,-1.2813503000000002,-0.97621919,-0.69455969,-0.44810764,-0.23686303,0.04479645,0.34992755,0.57290797,0.63158703,0.70200191,0.73720934,0.72547353,0.7958884,0.83109583,0.84283165,0.88977489,0.96018976,0.99539722,1.065812,1.1010195,1.1479628000000002,1.2301135,1.253585,1.2887925,1.324,1.3122641000000002,1.2770567,1.194906,1.0892837,0.99539722,0.87803908,0.76068096,0.60811541,0.45554986,0.31472012,0.20909781,0.12694713,0.05653226099999999,-0.013882608000000001
441,1,-0.041978630999999995,0.0050145115,0.09900079199999999,0.11074908,0.18123879,0.27522508,0.18123879,0.16949051,0.14599393,0.028511083,0.040259368999999996,-0.030230345,-0.030230345,-0.07722348700000001,-0.088971773,-0.11246834,-0.17120977,-0.22995120000000002,-0.24169949,-0.22995120000000002,-0.24169949,-0.24169949,-0.26519605,-0.25344777,-0.26519605,-0.30044091,-0.041978630999999995,0.18123879,-0.33568577,-1.3460383,-2.2036631,-2.4973702999999996,-2.6031049,-2.5913566,-2.2624046,-2.0156906,-1.9217043000000003,-1.8394663,-1.7572283,-1.6632419999999999,-1.3695348,-1.1110726999999998,-0.75862405,-0.4766652,-0.27694434,0.06375594,0.38095964,0.58068051,0.63942193,0.67466679,0.69816336,0.72165993,0.76865307,0.81564622,0.83914278,0.86263936,0.93312907,0.95662564,1.015367,1.0976051000000002,1.1328499,1.179843,1.2150878999999999,1.2620811,1.2738293,1.297326,1.2738293,1.2738293,1.2033397,1.1093534,0.98012226,0.88613592,0.78040136,0.65117021,0.52193907,0.42795279,0.32221822,0.23998022,0.16949051,0.11074908,0.075504225,0.040259368999999996
656,1,0.077794776,0.012965795,0.012965795,0.012965795,0.012965795,-0.012965798,0.09076057300000001,0.10372637,0.10372637,0.23338434,0.36304229,0.27228172,0.25931593,0.24635013,0.11669216,0.12965796,0.077794776,-0.025931594,-0.025931594,-0.025931594,-0.12965796,-0.16855536,-0.18152115,-0.24635014,-0.25931593,-0.20745274,-0.27228172,-0.23338434,-0.20745274,-0.28524752,-0.28524752,-0.24635014,0.14262376,0.27228172,-0.51863186,-1.5169982,-2.294946,-2.6061251,-2.7228172,-2.6968856,-2.2690144,-2.03563,-1.8800404,-1.8411431,-1.6336903,-1.4910666000000001,-1.1798875,-0.90760574,-0.50566606,-0.29821331,-0.10372637,0.11669216,0.3500765,0.53159765,0.58346084,0.58346084,0.64828981,0.67422141,0.7131188,0.80387937,0.81684517,0.85574256,0.90760574,0.97243477,1.0502295,1.1150585,1.1539559,1.2447165,1.2836139,1.3484428,1.3743743999999998,1.3225111999999999,1.3225111999999999,1.2576823000000001,1.1669216,1.0631953,0.92057153,0.79091358,0.63532402,0.47973446,0.40193969,0.28524752
387,1,0.11253426,0.07486973200000001,0.11253426,0.1250891,0.13764395,0.13764395,0.212973,0.27574721,0.35107627,0.48917954,0.42640533,0.42640533,0.3887408,0.28830205,0.22552784,0.22552784,0.1250891,0.087424575,0.049760045999999995,0.06231489,-0.025569009,-0.13856259,-0.13856259,-0.12600775,-0.10089807,-0.17622712,-0.16367228,-0.20133679999999998,-0.22644649,-0.20133679999999998,0.049760045999999995,0.1250891,-0.38965945,-1.4819307,-2.3607697999999995,-2.7123053,-2.975957,-2.9382924999999998,-2.2477762,-2.0092341,-1.9590148,-1.8334664,-1.7204728,-1.5195953000000002,-1.1931694,-0.8165241,-0.54031756,-0.27666586,-0.11345291,0.15019879,0.45151501,0.55195375,0.66494734,0.70261187,0.74027639,0.80305061,0.80305061,0.82816029,0.8909345,0.99137328,1.0415926,1.1043668,1.091812,1.167141,1.2424701,1.2675798,1.2048056,1.2173604,1.1545862,1.0792571000000002,1.0039281,0.90348935,0.77794092,0.63983766,0.51428922,0.41385049,0.30085690000000004,0.16275363,0.1250891,0.1250891,-0.013014167,-0.025569009
289,1,0.95574078,-0.15861208,-0.18280707,-0.12231959,-0.12231959,-0.23119704,-0.12231959,-0.13441709,-0.08602710599999999,-0.08602710599999999,0.05914283,0.16802028,0.13172779999999998,0.08333781900000001,0.071240325,0.022850346,-0.0013446435000000001,-0.08602710599999999,-0.1102221,-0.15861208,-0.17070957,-0.20700206,-0.21909955,-0.29168452,-0.3400745,-0.327977,-0.31587951,-0.30378201,-0.38846447,-0.29168452,-0.31587951,-0.38846447,-0.17070957,0.13172779999999998,-0.29168452,-1.2231916,-2.0579188000000004,-2.3482586,-2.4208436,-2.4329411,-2.2030887000000003,-1.9248463,-1.8038713,-1.7554813999999999,-1.6587014,-1.5740188999999998,-1.3078741000000003,-0.99333923,-0.69090184,-0.43685445,-0.24329454,-0.013442138000000001,0.33738521,0.51884763,0.66401757,0.73660253,0.77289502,0.78499251,0.86967497,0.96645494,0.94225994,1.0148449000000002,1.0874298999999998,1.1237224,1.2446973,1.2205023000000002,1.3777698,1.4261598,1.4503546999999999,1.4745496999999999,1.4503546999999999,1.4019647,1.3535747,1.2688923,1.1600148000000001,1.0269424,0.89386996,0.74870003,0.5914326,0.44626266,0.42206767,0.31319022
182,1,-0.024860182,-0.05278532,0.044952663,0.017027525,0.044952663,0.12872808,0.22646606,0.39401689,0.22646606,0.28231634,0.24042863,0.12872808,0.07287780099999999,0.0030649559999999998,-0.038822751,-0.06674788799999999,-0.1086356,-0.17844844,-0.19241101,-0.26222386,-0.26222386,-0.27618643,-0.30411157,-0.26222386,-0.27618643,-0.290149,-0.34599926,-0.22033615,0.030990094,-0.12259817,-0.97431491,-1.9237696,-2.4403846000000002,-2.6637857000000005,-2.7754863,-2.3426466,-1.9237696,-1.8260316000000003,-1.7841439,-1.6584808000000002,-1.6584808000000002,-1.3094165,-1.00224,-0.62525065,-0.44373725,-0.23429872,-0.024860182,0.29627891,0.60345542,0.74308111,0.7011934,0.77100625,0.79893139,0.89666937,0.95251965,1.0502577,1.0642201999999998,1.1479956,1.1898833999999998,1.3015839,1.3155465,1.4412096,1.3993219,1.4830973,1.4412096,1.3993219,1.2457336,1.2038459,1.0642201999999998,0.93855708,0.79893139,0.64534313,0.51968,0.39401689,0.31024148,0.15665322,0.10080294,0.044952663,-0.010897613,-0.06674788799999999,-0.15052331,-0.13656074
