,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
69,1,-0.14141561,-0.10063588,-0.1595076,-0.19613125,-4.1538144,-0.22796329999999998,-0.24918414,-0.26698275,-0.29504963,-0.30326425,-0.32037778,-0.32927708,-0.33475376,-0.26800957,-0.12035105,-0.025677072999999998,0.12424015,0.24129929,0.35527714,0.44050463,0.51854392,0.57912715,0.61527116,0.66435383,0.73931264,0.75642657,-4.1538144,0.88923027,0.87382745,0.88238462,0.88871665,0.87280062,0.84995381,0.75779554,0.75094989,0.62782771,0.57296618,0.52230909,0.46480595,0.41154801,0.38608277,0.33200265,0.29366749,0.26286227,0.22589647,0.2007394,0.18995751,0.14272304,0.10986456,0.087273956,0.050308165,0.034905752000000005,0.021556992,-0.0071941788,-0.011986173000000001,-0.025420866,-0.043133542999999996,-0.043475685,-0.036561686,-0.050115889000000004,-0.073938369,-0.06675057599999999,-4.1538144,-0.11131505,-0.10474320000000001,-0.10597547,-0.10731046,-0.1018094,-0.10474320000000001,-0.097555801,-0.07599202299999999,-0.059562784,-0.042106715,-4.1538144,0.06468375,0.20364881,0.3207759,0.41312243,0.50040277,0.5175167,0.5856986,0.62328073,0.6407368,0.61634955
753,1,-0.24038095,-0.40316331,-0.54102728,-0.6350561,-0.81569327,-0.94374561,-1.0928342,-1.2512013000000002,-1.2369715000000001,-1.2664004999999998,-1.2314032,-1.2858417,-1.2803992,-1.2121036,-0.27131116,0.22782570000000002,0.67047099,1.0295521,1.4311219,0.45556469,0.27554733,0.48092809999999997,0.57990535,1.2416483,1.5709291,1.7112333,2.0905676,2.3615218999999996,2.2105782000000005,2.1759362999999996,2.1759362999999996,2.6250527999999997,1.9033913,1.5226772,1.0550037,0.75064422,0.42648959999999997,0.16271159,-0.047371979,-0.45788499,-0.68419364,-0.83425168,-1.2041832000000001,0.18222357,0.32132573,0.42896309,0.47915966,0.44034520000000005,0.33771839,0.35349268,0.33246077,0.26688578,0.1852302,0.12955351,0.072992595,0.10332466,0.080063435,0.067690198,0.038925733,0.0008798988,-0.043660295,-0.061688473,-0.16688847,-0.29923619,-0.45194543,-0.57072074,-0.68578436,-0.78476306,-0.83796337,-0.88250356,-0.86659635,-0.85599154,-0.86394515,-0.89487536,-0.95037434,-0.9851924999999999,-0.9771521999999999,-0.97900733,-0.97405745,-0.97010015,-0.97529708,-0.95426229,0.042238652,-0.031287058
7,1,-1.5140958,-1.5033798,-1.5443786,-1.5876398,-1.6175906999999998,-1.639886,-1.6636465,-1.6259093,-1.5210841,-1.3030464,-0.90455401,-0.53805275,-0.28647152,0.0031579715999999996,0.25862193,0.50709663,0.71985525,0.89223437,1.0692733,1.213699,1.4280091000000001,1.5724358,1.6858025,1.7436515,1.8053814,1.6842501,1.5227412,1.563118,1.6178603999999999,1.610484,1.594177,1.594955,1.5363288999999998,1.4105386999999998,1.2565621,1.0599546,0.88835256,0.71597163,0.56877213,0.45429642,0.34807307,0.27259861,0.19184322,0.13166567,0.071599658,0.010147219,-0.027901932999999997,-0.080314051,-0.11875129,-0.15509031,-0.18490706,-0.19981498,-0.25308216,-0.28957714,-0.32451976,-0.3675361,-0.40410907,-0.44836857,-0.49053166,-0.53650039,-0.56866835,-0.59395949,-0.63589046,-0.67249515,-0.71442521,-0.74420931,-0.78652836,-0.81758827,-0.84554073,-0.87549168,-0.91143082,-0.92629521,-0.94537601,-0.95669047,-0.97692284,-0.96900235,0.384413,0.33875528,-0.19018708,-0.19950487,0.011699579,0.23940239,0.1673074,0.31585978
1167,1,-1.2385274,-1.2781669,-1.2934166,-1.3235298999999998,-1.3500746000000001,-1.364793,-1.3888841,-1.4042615,-1.3171231,-1.1541225,-0.93354159,-0.73278045,-0.53703885,-0.34321966,-0.13519732,0.081710349,0.2806648,0.46409573,0.60300525,0.73115042,0.82204783,0.95873614,1.1068717,1.2523715,1.4653366,1.7190645,2.006537,1.9900493000000001,2.0701829,2.1141785,2.1251778,2.1914933,2.0370783,1.9597331000000002,1.7711773000000002,1.4929183000000001,1.1552255,0.81367528,0.63273441,0.49741335,0.35858913,0.26888786,0.19169579,0.13305351,0.072612027,0.017124739,-0.046947097,-0.09333656300000001,-0.11914856,-0.15826286,-0.19264843,-0.20738532,-0.23258727,-0.27701042,-0.31195216,-0.34193772,-0.37836791,-0.39896234,-0.44509492,-0.49223361,-0.5226227,-0.551242,-0.57388106,-0.60036396,-0.63795339,-0.65674811,-0.69561899,-0.71911202,-0.74632717,-0.78220868,-0.79831829,-0.82541173,-0.83749395,-0.85763047,-0.87271552,-0.87066491,-0.28097697,0.22638663,-0.52678727,-0.6030340999999999,-0.43964840000000005,-0.28010754,-0.20555468,-0.23600413
1202,1,-0.38963773,-0.46201437,-0.54393686,-0.60955354,-0.6460905,-0.68262583,-0.75569976,-0.84339073,-0.89111032,-0.95314953,-0.99510551,-1.0250304000000001,-1.0475306,-1.0557501,-0.50599883,1.6297726000000001,1.4281488000000002,1.2969155,1.7287941000000002,2.1338312000000004,2.2871372,2.4386504,3.1954852000000002,3.1735604,0.66609825,-0.19617014,-0.14427169,-0.11563896,0.07942313200000001,0.0060517597,0.036275739,0.11004533,-0.13075014,0.014004756,-0.10743728,-0.071496839,-0.15620199,-0.38574168,-0.60537793,-0.65130959,-0.76464748,-0.75778837,-0.76683524,-0.90423528,-0.5689905,0.5643916,0.94192233,1.1931235,1.2093464,1.1957078,1.1327243,1.0815735,0.89088858,0.78176368,0.69637261,0.60304643,0.47252664,0.38215702,0.29238068,0.17963929999999997,0.076442179,-0.0040890001,-0.13114673,-0.24210018,-0.35275294,-0.43974663,-0.51267914,-0.59762323,-0.65298049,-0.74794506,-0.83337026,-0.93859424,-1.0280455,-1.0755538,-1.1356832000000001,-1.1595438,-1.1732636,-1.1841211999999999,-1.1607368,-0.065052197,-0.63937929,-0.29325095,0.12257214,0.060402907
776,1,-1.433949,-1.4242748,-1.4691312,-1.5025538999999999,-1.5306995,-1.5650004,-1.6168943999999998,-1.6876080000000002,-1.6890162,-1.692535,-1.5839113,-1.1762442,-0.87632069,-0.64939906,-0.43479129999999994,-0.20918846,-0.028443051,0.21431025,0.47817244,0.56436846,0.71037129,0.74625703,0.8423029000000001,1.0533918,1.2539284,1.355954,1.5415370000000002,1.6725895,1.7675805,1.7323993999999998,1.7499894,1.6998547999999998,1.6365291000000002,1.6085592,1.5564905,1.4766266000000001,1.3499742000000001,1.1712512,1.1026463,0.90035235,0.74731186,0.63824753,0.5590901999999999,0.515113,0.40429132,0.28951119,0.20903303,0.14253981,0.061270777,0.029606405,0.03884206,0.0019014975,0.0042761453,-0.053069745999999994,-0.13662613,-0.12607168,-0.20391124,-0.21314689,-0.27647357,-0.32045077,-0.38518458,-0.35774363,-0.41808043,-0.48439699,-0.61157828,-0.68458123,-0.6801832,-0.6801832,-0.64060403,-0.71316534,-0.79892073,-0.85169296,-0.89391178,-0.9031464,-0.86858049,-0.84867843,-0.78731145,-0.79575522,-0.55352882,0.17209246,0.33568741,0.55205357,0.83174845,1.1388843000000002
18,1,-0.66229673,-0.70662167,-0.74576769,-0.78584071,-0.81536775,-0.85722429,-0.89080716,-0.92276794,-0.95910851,-0.9798747999999999,-1.0153360999999999,-0.98311958,-0.86695864,-0.61354481,-0.26076118,0.07054343099999999,0.35614539,0.6528435,0.92802963,1.0634751,1.333338,1.5094862,1.7048202000000001,1.7618861000000001,1.9954556,2.0838048,2.1439717000000003,2.2252761000000003,2.1876374,2.1185237999999997,2.186055,2.0564682,1.8829566000000002,1.7845189,1.6738096999999998,1.4454033000000002,-0.24834983,-0.7418744,-0.76043828,-0.39472723,-0.49511212,-0.46428637,-0.30918857,-0.48372269,-0.73749402,-0.81990954,-0.86014454,-0.84100093,-0.85138322,-0.65134494,-0.52613963,-0.51230852,-0.52066402,-0.49348944,-0.4845991,-0.48992069,-0.49628067,-0.5138016,-0.51230908,-0.51912262,-0.54271197,-0.55439297,-0.5726613,-0.59381692,-0.60608163,-0.62295406,-0.63148803,-0.62761861,-0.34260946,-0.46799494,-0.36223959,-0.06530220099999999,-0.24954453,-0.42178076,-0.35148786,-0.25954374,-0.30003849,-0.090817164,-0.043931177,0.07239345400000001,0.08115420400000001,0.079012042,0.07141984700000001,0.031596909
369,1,-0.55123814,-0.63546798,-0.68845062,-0.73633974,-0.79339858,-0.8433253,-0.89681759,-0.95986231,-1.033096,-1.0630255,-1.1082405,-1.1617328000000002,-1.1634303,-1.1770163,-1.1679178999999997,1.0655944,1.7277122999999999,1.7204949,2.3820188,2.1872805,1.3875674,1.4313813,1.6733712,1.4840239,1.235242,1.2517996,0.92738643,0.82040186,0.93611986,1.1868432,1.5523763000000002,1.5740284,1.5388756000000001,1.4352017,1.1320778,1.1631901000000002,1.1038042,0.99664708,0.80293499,0.66902233,0.47021375,0.26558387,0.24079056,0.27556069,0.18916533,0.12463429,0.065411932,0.012555221,-0.042028742,-0.079145838,-0.16320613,-0.25847275,-0.26968106,-0.25032135,-0.32049917,-0.33241741,-0.42047856,-0.4007381,-0.48543397,-0.52916162,-0.64318212,-0.71030106,-0.73197303,-0.78073569,-0.82294729,-0.86370332,-0.87753126,-0.88102443,-0.91634586,-0.94351687,-0.94861138,-0.98172565,-1.0012539,-1.0456499,-1.0974843,-1.1343495000000001,-1.1715569,-1.1566382,-1.0496527,-0.87491162,-0.35255151,0.11808521,0.67688222,0.69231149
136,1,-0.79684004,-0.88659412,-0.99957716,-1.0115451,-1.0430028,-1.0485023,-1.0573012,-1.0759052,-1.0492061000000001,-0.0088574379,-1.463128,-0.8320379999999999,-0.14216866,0.22212417,0.54946088,0.44914865,0.69201088,0.97288555,1.3910316,1.6458608000000001,1.8186806,2.0372555,2.2230985,2.0981485,2.1175057,1.9555985,3.4141797,1.8640853,1.5644669,1.1988537000000001,0.8767976000000001,0.51250375,0.19572621,-0.15140743,-0.58640958,-0.99482574,-1.2772848999999997,-1.6172924,-0.0075380515,0.20452519,0.37875376,0.27844050000000004,0.23664356,0.19044765,0.15260887,0.12445173,0.066376226,-0.0033898046999999995,-0.059014582,-0.077932949,-0.049246617,-0.11313091,-0.10521152,-0.11445029,-0.15206815,-0.19628396,-0.21502764,-0.14656763,-0.18968601,-0.3163962,-0.43914618,-0.52908728,-0.60255046,-0.66352984,-0.6927576999999999,-0.67364923,-0.65605025,-0.647502,-0.66711294,-0.6965278,-0.73480535,-0.72468699,-0.73480535,-0.71412678,-0.70859647,-0.71236658,-0.70180842,0.43858947,-1.3754865,-0.91299207,-0.54341966,0.073239283,0.64977415,1.3255649
251,1,-0.84553688,-0.74243321,1.2492633,-0.38658175,-7.9135672999999995,-0.31823859,0.075909007,0.26306563,-0.36136449,-0.54683345,-0.51855321,-0.57629086,-0.53210406,-0.44107892,-0.58394967,0.42410234,0.7820170999999999,0.85536821,0.87039138,0.85222543,0.83990198,0.81577588,0.78078008,0.75285347,0.73770371,0.70248018,0.67110807,0.64194444,0.61448499,0.59024606,0.5629765,0.54530178,0.511887,0.46298741,0.38124131,0.32007399,0.25972677,0.20069224,0.13565011,0.093584415,0.056466817999999995,0.034078608999999996,-0.0024486822,-0.01918153,-0.046046548,-0.20556277,-0.51266187,-0.55508119,-0.51266187,-0.48438232,-0.41986788,-0.38599214,-0.27794037,-0.15784035,-0.13290585,-0.09730254599999999,-0.049077191,0.010906087,0.050104195,0.10524876,0.14307363,-0.14208033,-0.17625191,-0.12664437,-0.34165742,-0.22734004,-0.42693776,-0.35712366,-0.39550236,-0.45711207,-0.46741418,-0.58100365,0.3856108,0.64238683,0.67469255,0.66565774,0.61700995,0.56815232,0.49338737,0.37713809,0.25324718,0.14660788,0.09888614,0.0081554629
