,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
466,2,-0.49341783,-1.0647438,-1.22056,-1.5321923000000002,-1.4802536,-1.2724986999999999,-0.96086633,-0.85698888,0.5972953000000001,1.2724986999999999,1.584131,1.6880084,1.5321923000000002,0.80505018,0.54535657,0.70117274,0.64923402,0.38954041,0.12984681,-0.12984679,-0.649234,0.12984681,0.025969369,-0.38954039
382,2,-0.88051755,-1.2612819,-1.4788615,-1.6420462,-1.6692436999999998,-1.3972692,-1.0708997,-0.064593959,0.72413219,1.3768711,1.4584633999999999,1.2680813,1.0233041999999999,0.75132965,0.66973729,0.75132965,0.72413219,0.42496021,0.28897294,0.071393308,0.016998401,0.28897294,0.071393308,-0.4453583
28,2,-0.97386362,-1.2951382,-1.562867,-1.6431857,-1.5093212,-1.5093212,-1.0809551000000002,-0.38486020000000004,0.47187205,1.3821501,1.3286043,1.2750584999999999,0.90023817,0.65928223,0.712828,0.712828,0.63250935,0.36478052,0.28446188,0.12382458,0.31123476,0.84669241,0.23091611,-0.27776867
967,2,-0.33417379,-1.0580159,-1.4344138000000002,-1.3765065,-1.4923212,-1.5791823,-1.5212748999999999,-0.79743275,0.50548309,1.1714178999999998,1.4030472999999999,1.2582788999999999,1.1135104999999998,0.70815889,0.82397363,0.96874206,0.76606626,0.73711257,0.41862203,0.24489992,-0.1025443,-0.47894221,0.013270441000000001,0.042224125999999994
817,2,-0.84819419,-0.95793359,-1.3420216,-1.2322822,-1.5066306999999999,-1.451761,-1.5066306999999999,-1.5066306999999999,0.4412439,1.2368546,1.2368546,1.1819848999999998,0.9625060999999999,0.60585302,0.55098331,0.77046213,0.98994095,0.82533184,0.60585302,0.41380904,0.11202566,0.22176507,0.13946051,0.057155958
652,2,0.44637513,-0.33750315,-0.80783011,-1.0691229,-1.17364,-1.17364,-0.86008866,-0.54653736,-0.96460577,-0.023951837000000004,0.55089224,0.81218498,0.65540934,0.080565265,-0.18072749,-0.54653736,-0.80783011,-0.75557156,-0.49427881,0.34185803,2.3276830000000004,2.0663903,1.4915462,0.96896064
554,2,-0.18963774,4.8940973e-09,-0.88497614,-1.3906768,-1.3906768,-1.3906768,-1.5803145,-1.3906768,0.18963774,1.0746139,1.7067397000000002,1.5803145,1.1378264999999999,0.37927549,-0.25285033,-0.063212577,-0.18963774,-0.31606291,-0.31606291,-0.12642516,1.2642516000000001,1.201039,0.69533839,0.25285033
844,2,0.83015174,0.10418908,-0.54111104,-0.94442362,-0.86376111,-0.78309859,-0.54111104,-0.2991235,-0.13779847,0.74948922,1.3947893999999998,1.2334643,0.10418908,-0.05713594599999999,-0.78309859,-1.0250861999999998,-1.1864112,-1.1057487,-0.94442362,-0.54111104,0.1848516,2.3627396000000003,1.7981019,0.99147675
1004,2,0.91295034,0.59654878,0.042846036,-0.58995708,-0.74815786,-0.66905747,-1.7764629,-1.9346637,-0.98545903,-0.19445513,0.28014722,0.67564917,0.51744839,0.12194644,0.12194644,-0.58995708,-0.51085669,-0.51085669,-0.27355552,0.042846036,0.43834799999999996,0.51744839,2.4949582,2.0203558
394,2,-0.84553671,-1.1782069,-1.3294206,-1.4806343000000002,-1.5108771,-1.3294206,-1.2084496,-0.48262378,0.3339303,1.2412126,1.3924263000000001,1.3319408000000001,1.3319408000000001,0.84805694,0.84805694,0.96902792,0.8178141999999999,0.75732871,0.3339303,0.031502863,-0.27092458,-0.33141006,0.09198835,-0.36165281
